id,neg,neu,pos,compound,Comments,Sentiment Category,Comment_ID
1,0.0,0.601,0.399,0.8834,"Play on  with a super powerful processor and snap away  in ultra-high resolution. What epic moments will you share?
Learn more: http://smsng.co/S23Ultra_Intro_ytp",positive,1
2,0.018,0.624,0.358,0.9735,"Ok this is awesome. Im so happy that Samsung is upgrading it's night photography and giving some focus to astrophotography as well. One of my favorite things to do is mobile astrophotography and this is looking like a serious upgrade for me. Thank you Samsung, will definitely be upgrading from my 5 year old OnePlus this year!",positive,2
3,0.0,0.811,0.189,0.54,"By far the most creative and captivating introduction film of any product. 

Way to go, Samsung! ",positive,3
4,0.0,0.741,0.259,0.9059,"Ever since the S22 Ultra, I've been the biggest fan of your smartphones! This year is going to be even better, and now with more steady video as well as a vastly improved night mode, I'm sure we will even beat Apple's recording capabilities!",positive,4
5,0.0,1.0,0.0,0.0,The introduction film is impecceable! Loooooved watching every second of it.,neutral,5
6,0.051,0.786,0.163,0.716,"One of my favorite features has to be the OIS. The videos taken out of this phone are so so stable, missing all those micro jitters from when usually filming with a phone, it's incredible and makes other phones with OIS feel like they ain't got one.",positive,6
7,0.0,0.539,0.461,0.8779,"Nostalgia to the times when smartphone introductions are fun like this

Edit: thank you for the likes ",positive,7
8,0.0,0.715,0.285,0.75,This is actually such an elaborate and fun introduction film. Nice job. My s23 Ultra is already pre-ordered!,positive,8
9,0.0,0.667,0.333,0.8176,I always wait for new Samsung introduction videos they are always fun to watch love it as always ️,positive,9
10,0.0,0.775,0.225,0.4404,Never seen Samsung pull out an epic commercial better than this ,positive,10
11,0.0,0.679,0.321,0.7955,"Probably one of the best smartphone trailers EVER!, the S23 is going to be huge this year!",positive,11
12,0.076,0.69,0.233,0.7469,"the one thing I absolutely love about Samsung is the clean camera setup - other companies have gross camera setups on their flagships, and apple still can't lose the notch and it is 2023",positive,12
13,0.0,0.513,0.487,0.8591,"Samsung always innovates endlessly, I pray everyone can buy Samsung S23 Ultra. Love it",positive,13
14,0.0,0.549,0.451,0.8118,Great one! Both intro film and the product looks absolutely promising.,positive,14
15,0.0,0.385,0.615,0.9042,"I must confess I love this commercial, beautifully done and fun too ",positive,15
16,0.083,0.556,0.361,0.7906,I have to admit that this focus on the camera including Astro photography and low light seems pretty great.,positive,16
17,0.0,0.415,0.585,0.9477,Great phone as always. Love the design. I wish if I had money to own this beauty,positive,17
18,0.0,0.899,0.101,0.6486,"They're really stepping up their game in their introduction videos. Instead of having some person narrate the things that are new, they show you with people having more of a conversation in more imaginative environments. Though I do like that commercial that shows how their SSD isn't made of soap lol",positive,18
19,0.0,0.403,0.597,0.8126,"It was fun watching it. 
Awesome introduction ️",positive,19
20,0.063,0.821,0.116,0.4186,"This is the best Samsung commercial in decades! Makes me really want to get the S23. Maybe I will

UPDATE: The retailers are borderline scalpers. The phone costs double the price where I live in the Caribbean. I'll have to sit this one out. Ad is still sick",positive,20
21,0.0,0.87,0.13,0.5562,Been so long since i saw a genuinely fun intro video for a smartphone launch. Way to go Samsung. I might upgrade from my old one plus this year!,positive,21
22,0.06,0.815,0.125,0.3071,"I must say Samsung has the best video introduction of all time. Kind of disappointed with my trade in value for my s22 ultra, but I’ll hold unto it until next year ",positive,22
